Program	Topic	Episode	Irish	Meaning	s/p	Literal	Phonetic
Giota Beag - Series 1	How are you?	1	giota beag	a little bit			gitta big
Giota Beag - Series 1	How are you?	1	Fáilte!	Welcome!			
Giota Beag - Series 1	How are you?	1	Éist!	Listen!			
Giota Beag - Series 1	How are you?	1	céad míle fáilte	Hundred thousand welcomes			
Giota Beag - Series 1	How are you?	1	Is mise ...	I am ...			
Giota Beag - Series 1	How are you?	1	Is mise Róisín	I am Róisín			
Giota Beag - Series 1	How are you?	1	Cad é mar atá tú?	Hello How are you?			
Giota Beag - Series 1	How are you?	1	Cad é mar atá Colm?	How's Colm?			
Giota Beag - Series 1	How are you?	1	Tá mé go maith!	I'm well/good!Taa may go mye!			
Giota Beag - Series 1	How are you?	1	Agus tú féin?	And yourself?			Agus tu hain?
Giota Beag - Series 1	How are you?	1	Go maith	Well			
Giota Beag - Series 1	How are you?	1	Slán!	Bye!			
Giota Beag - Series 1	How are you?	1	Dia duit	Hello			
Giota Beag - Series 1	How are you?	1	> Dia is Muire duit!	Hello to you too			
Giota Beag - Series 1	How are you?	1	Tá fáilte romhat	you're welcome			
Giota Beag - Series 1	How are you?	1	Fáilte go Giota Beag	Welcome to Giota Beag			
Giota Beag - Series 1	A cup of coffee please!	2	go raibh maith agat	Thank you/thanks			
Giota Beag - Series 1	A cup of coffee please!	2	le do thoil	please			
Giota Beag - Series 1	A cup of coffee please!	2	tae	tea			
Giota Beag - Series 1	A cup of coffee please!	2	caifé	coffee			
Giota Beag - Series 1	A cup of coffee please!	2	cupán tae	a cup of tea			
Giota Beag - Series 1	A cup of coffee please!	2	Cupán caifé	a cup of coffee			
Giota Beag - Series 1	A cup of coffee please!	2	Cupán caifé le do thoil	a cup of coffee please			
Giota Beag - Series 1	A cup of coffee please!	2	Tá sé...	it is...			taa shay
Giota Beag - Series 1	A cup of coffee please!	2	fuar	cold			
Giota Beag - Series 1	A cup of coffee please!	2	fliuch	wet			
Giota Beag - Series 1	A cup of coffee please!	2	te	hot			chay
Giota Beag - Series 1	A cup of coffee please!	2	+ gaofar	windy			gayfor?
Giota Beag - Series 1	A cup of coffee please!	2	iontach	extremely / very			inta?
Giota Beag - Series 1	A cup of coffee please!	2	iontach fuar	very cold			
Giota Beag - Series 1	A cup of coffee please!	2	iontach fliuch	very wet			flyuach??
Giota Beag - Series 1	A cup of coffee please!	2	iontach te	very hot			ta shay chay
Giota Beag - Series 1	A cup of coffee please!	2	tá sé i Srón Ramhar	He is in Srón Ramhar / Stranraer			
Giota Beag - Series 1	A cup of coffee please!	2	anois	now			
Giota Beag - Series 1	A cup of coffee please!	2	is maith sin!	that's good! (smashing!)			is maoy shin
Giota Beag - Series 1	A cup of coffee please!	2	tá	Yes [to agree with the weather]			
Giota Beag - Series 1	I like shopping!	3	Tá mé i mo chónaí	I live			ta may mo howney
Giota Beag - Series 1	I like shopping!	3	Tá mé ag obair	I am working			
Giota Beag - Series 1	I like shopping!	3	i mBéal Feirste in Béal Feirste	Belfast			
Giota Beag - Series 1	I like shopping!	3	siopadóireacht	shopping			
Giota Beag - Series 1	I like shopping!	3	sacar	soccer			
Giota Beag - Series 1	I like shopping!	3	Is maith liom ...	I like ...			
Giota Beag - Series 1	I like shopping!	3	Is maith liom sacar	I like soccer			
Giota Beag - Series 1	I like shopping!	3	agus	and			
Giota Beag - Series 1	I like shopping!	3	pósta	married			
Giota Beag - Series 1	I like shopping!	3	Tá mé pósta	I'm married			
Giota Beag - Series 1	I like shopping!	3	Níl mé pósta	I'm not married			
Giota Beag - Series 1	I like shopping!	3	mac	son			
Giota Beag - Series 1	I like shopping!	3	iníon	daughter			nying
Giota Beag - Series 1	I like shopping!	3	Tá mac agam	I have a son			
Giota Beag - Series 1	I like shopping!	3	Tá mac agus iníon agam	I have a son and a daughter			
Giota Beag - Series 1	I like shopping!	3	Oíche mhaith	Good night			e-ha why
Giota Beag - Series 1	Would you like a biscuit?	4	ar mhaith leat...?	Would you like...?			air why lat?
Giota Beag - Series 1	Would you like a biscuit?	4	Ba mhaith	Yes [in terms of above]			ba why
Giota Beag - Series 1	Would you like a biscuit?	4	níor mhaith	No [in terms of above]			nior why
Giota Beag - Series 1	Would you like a biscuit?	4	ba mhaith liom	I would like			
Giota Beag - Series 1	Would you like a biscuit?	4	níor mhaith liom	I wouldn't like			
Giota Beag - Series 1	Would you like a biscuit?	4	siúcra	sugar			
Giota Beag - Series 1	Would you like a biscuit?	4	bainne	milk			
Giota Beag - Series 1	Would you like a biscuit?	4	briosca	a biscuit			briska
Giota Beag - Series 1	Would you like a biscuit?	4	ádh mór ort	good luck			???
Giota Beag - Series 1	Wait a minute	5	gabh mo leithscéal	Excuse me			go ma layskul
Giota Beag - Series 1	Wait a minute	5	leithreas	toilet			laychras
Giota Beag - Series 1	Wait a minute	5	cá bhfuil...?	Where is...?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an bainne?	Where is the milk?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an siúcra?	Where is the sugar?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil an leithreas?	Where is the toilet?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil Úna?	Where is Úna?			
Giota Beag - Series 1	Wait a minute	5	níl a fhios agam	I don't know			neil us agam
Giota Beag - Series 1	Wait a minute	5	cá bhfuil sí?	Where is she?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil sé?	Where is he?			
Giota Beag - Series 1	Wait a minute	5	cá bhfuil siad?	Where are they?			
Giota Beag - Series 1	Wait a minute	5	cad é mar atá Úna?	How is Úna?			
Giota Beag - Series 1	Wait a minute	5	tá sé go maith	He is well			
Giota Beag - Series 1	Wait a minute	5	tá sí go maith	She is well			
Giota Beag - Series 1	Wait a minute	5	tá siad go maith	They are well			
Giota Beag - Series 1	Wait a minute	5	sa	in the			
Giota Beag - Series 1	Wait a minute	5	sa chuisneoir	in the fridge			
Giota Beag - Series 1	Wait a minute	5	ar an	on the			
Giota Beag - Series 1	Wait a minute	5	ar an tábla	on the table			
Giota Beag - Series 1	Wait a minute	5	thart an coirnéal	around the corner			hort an cornyal
Giota Beag - Series 1	Wait a minute	5	bomaite	a minute			
Giota Beag - Series 1	Wait a minute	5	fan bomaite	wait a minute			
Giota Beag - Series 1	Wait a minute	5	tá sé ar an tábla	it is on the table			
Giota Beag - Series 1	Wait a minute	5	An bhfuil sé ar an tábla?	Is it on the table?			
Giota Beag - Series 1	Take it easy!	6	NUMBERS				
Giota Beag - Series 1	Take it easy!	6	+Náid	zero			
Giota Beag - Series 1	Take it easy!	6	aon	one			
Giota Beag - Series 1	Take it easy!	6	dó	two			
Giota Beag - Series 1	Take it easy!	6	trí	three			
Giota Beag - Series 1	Take it easy!	6	ceathair	four			
Giota Beag - Series 1	Take it easy!	6	cúig	five			
Giota Beag - Series 1	Take it easy!	6	sé	six			
Giota Beag - Series 1	Take it easy!	6	seacht	seven			
Giota Beag - Series 1	Take it easy!	6	hocht	eight			
Giota Beag - Series 1	Take it easy!	6	naoi	nine			
Giota Beag - Series 1	Take it easy!	6	deich	ten			
Giota Beag - Series 1	Take it easy!	6	aondéag	eleven			
Giota Beag - Series 1	Take it easy!	6	dó dhéag	twelve			doe yeag
Giota Beag - Series 1	Take it easy!	6	+trí déag	thirteen			
Giota Beag - Series 1	Take it easy!	6	+ceathair déag	fourteen			
Giota Beag - Series 1	Take it easy!	6	+cúig déag	fifteen			
Giota Beag - Series 1	Take it easy!	6	+sé déag	sixteen			
Giota Beag - Series 1	Take it easy!	6	+seacht déag	seventeen			
Giota Beag - Series 1	Take it easy!	6	+hocht déag	eighteen			
Giota Beag - Series 1	Take it easy!	6	+naoi déag	nineteen			
Giota Beag - Series 1	Take it easy!	6	+fiche	twenty			fihha
Giota Beag - Series 1	Take it easy!	6	+fiche aon?	twenty one			fihha aon
Giota Beag - Series 1	Take it easy!	6	...				
Giota Beag - Series 1	Take it easy!	6	+triocha	thirty			truck-ah
Giota Beag - Series 1	Take it easy!	6	+daichead	forty			die-hid/dah-hid
Giota Beag - Series 1	Take it easy!	6	+caoga	fifty			cway-gah
Giota Beag - Series 1	Take it easy!	6	+seasca	sixty			shahs-kah
Giota Beag - Series 1	Take it easy!	6	+seachtó	seventy			shock toe
Giota Beag - Series 1	Take it easy!	6	+ochtó	eighty			uck toe
Giota Beag - Series 1	Take it easy!	6	+nócha	ninety			noe-kah
Giota Beag - Series 1	Take it easy!	6	+céad	hundred			cay-d
Giota Beag - Series 1	Take it easy!	6					
Giota Beag - Series 1	Take it easy!	6	rang	class (or primary)			
Giota Beag - Series 1	Take it easy!	6	rang a sé	class (or primary) six/sixth class			
Giota Beag - Series 1	Take it easy!	6	clár	programme			
Giota Beag - Series 1	Take it easy!	6	clár a sé	programme six			
Giota Beag - Series 1	Take it easy!	6	seomra	room			
Giota Beag - Series 1	Take it easy!	6	seomra a sé	room six			
Giota Beag - Series 1	Take it easy!	6	cá bhfuil seomra a hocht?	where is room eight?			
Giota Beag - Series 1	Take it easy!	6	tóg go bog é!	take it easy			toag go boag ay
Giota Beag - Series 1	Take it easy!	6					
Giota Beag - Series 1	Take it easy!	6	tá sé fuar	It is cold			
Giota Beag - Series 1	Take it easy!	6	An bhfuil sé fuar	Is it cold?			
Giota Beag - Series 1	Take it easy!	7	a haon a chlog	one o' clock			
Giota Beag - Series 1	Take it easy!	7	tá sé a haon a chlog	it's one o' clock			
Giota Beag - Series 1	Take it easy!	7	ceathrú i ndiaidh	a quarter past			ceahroo i nyay
Giota Beag - Series 1	Take it easy!	7	ceathrú i ndiaidh a haon	a quarter past one			
Giota Beag - Series 1	Take it easy!	7	leath i ndiaidh	half past			la i nyay
Giota Beag - Series 1	Take it easy!	7	leath i ndiaidh a haon	half past one			la i nyay
Giota Beag - Series 1	Take it easy!	7	Dean deifir.	Hurry up.			Jan jeffer
Giota Beag - Series 1	Take it easy!	7	Tá muid mall	We're late			
Giota Beag - Series 1	Take it easy!	7	Dean deifir. Tá muid mall	Hurry up. We're late			
Giota Beag - Series 1	Take it easy!	7	Cén t-am é?	What time is it?			
Giota Beag - Series 1	Take it easy!	7	Cén t-am?	What time?			
Giota Beag - Series 1	Take it easy!	7	ban	white			buan
Giota Beag - Series 1	Take it easy!	7	buí	yellow			bwee
Giota Beag - Series 1	Take it easy!	7	glas	green			
Giota Beag - Series 1	Take it easy!	7	gorm	blue			gorim??
Giota Beag - Series 1	Take it easy!	7	dubh	black			doo??
Giota Beag - Series 1	Days of the week	8	ceathrú go dtí	a quarter to			ceahroo go gee
Giota Beag - Series 1	Days of the week	8	tá sé ceathrú go dtí	it's a quarter to			
Giota Beag - Series 1	Days of the week	8	ar a seacht a chlog	at 7 o'clock			
Giota Beag - Series 1	Days of the week	8	ar ceathrú go dtí a (seacht)	at a quarter to (seven)			
Giota Beag - Series 1	Days of the week	8	ar leath I ndiaidh	at half past			
Giota Beag - Series 1	Days of the week	8					
Giota Beag - Series 1	Days of the week	8	Dé Luain	Monday			je luan
Giota Beag - Series 1	Days of the week	8	Dé Máirt	Tuesday			je mwarch
Giota Beag - Series 1	Days of the week	8	Dé Céadaoin	Wednesday			je ceadine
Giota Beag - Series 1	Days of the week	8	Déardaoin	Thursday			jeardine
Giota Beag - Series 1	Days of the week	8	Dé hAoine	Friday			je heanya
Giota Beag - Series 1	Days of the week	8	Dé Sathairn	Saturday			je sahern
Giota Beag - Series 1	Days of the week	8	Dé Domhnaigh	Sunday			je doughny
Giota Beag - Series 1	Days of the week	8					
Giota Beag - Series 1	Days of the week	8	beidh ceilí ann	there will be a ceili			
Giota Beag - Series 1	Days of the week	8	beidh diosco ann Dé Máirt	there will be a disco on Tuesday			
Giota Beag - Series 1	Days of the week	8	beidh Blas ann	Blas will be on			
Giota Beag - Series 1	Days of the week	8	ar leath i ndiaidh a seacht	at half past seven			
Giota Beag - Series 1	Days of the week	8	ar a seacht a chlog go dtí a hocht a chlog	at 7 o'clock to 8 o'clock			???may not be right
Giota Beag - Series 1	Days of the week	8					
Giota Beag - Series 1	Days of the week	8	rua	red haired			
Giota Beag - Series 1	Days of the week	8	fionn	fair haired			
Giota Beag - Series 1	Days of the week	8					
Giota Beag - Series 1	Days of the week	8	sláinte!	cheers!			
Giota Beag - Series 1	Today, tomorrow yesterday	9	Tá Blas ann	Blas is on (at this minute)			
Giota Beag - Series 1	Today, tomorrow yesterday	9	bhí Blas ann	Blas was on			vee Blas on
Giota Beag - Series 1	Today, tomorrow yesterday	9	beidh Blas ann	Blas will be on			bay Blas on
Giota Beag - Series 1	Today, tomorrow yesterday	9	inné	yesterday			in-ay
Giota Beag - Series 1	Today, tomorrow yesterday	9	aréir	last night			a-rare
Giota Beag - Series 1	Today, tomorrow yesterday	9	inniu	today			in-u
Giota Beag - Series 1	Today, tomorrow yesterday	9	anocht	tonight			anokt
Giota Beag - Series 1	Today, tomorrow yesterday	9	amárach	tomorrow			amwarach
Giota Beag - Series 1	Today, tomorrow yesterday	9	bhí Blas ann inné	Blas was on yesterday			
Giota Beag - Series 1	Today, tomorrow yesterday	9	maith go leor	alright/okay			my go lyor
Giota Beag - Series 1	Phone calls	10	guthán	phone			guhan
Giota Beag - Series 1	Phone calls	10	uimhir	number			ever
Giota Beag - Series 1	Phone calls	10	uimhir ghutháin	phone number			ever goohan??
Giota Beag - Series 1	Phone calls	10	Cad é an uimhir ghutháin atá agat?	what's your phone number?			
Giota Beag - Series 1	Phone calls	10	scairt ghutháin	phone call			
Giota Beag - Series 1	Phone calls	10	cuir scairt ghutháin orm	phone me			koor scart..
Giota Beag - Series 1	Phone calls	10	ba mhaith liom labhairt le ...	I'd like to speak to ...			ba why lum lortch le
Giota Beag - Series 1	Phone calls	10	Cé atá ag caint?	who's speaking?			
Giota Beag - Series 1	Phone calls	10					
Giota Beag - Series 1	Phone calls	10	MUSICAL INSTRUMENTS				
Giota Beag - Series 1	Phone calls	10	bodhrán	bodhran			boaran
Giota Beag - Series 1	Phone calls	10	píb uillinn	uillean pipes			peeb illan
Giota Beag - Series 1	Phone calls	10	bosca ceoil	squeeze box			boxa ceoil
Giota Beag - Series 1	Phone calls	10	feadóg	whistle			faadag
Giota Beag - Series 1	Phone calls	10	feadóg mhór	flute			faadag wore (big whistle)
Giota Beag - Series 1	Phone calls	10					
Giota Beag - Series 1	Phone calls	10	maith thú	good on you/well done			
Giota Beag - Series 1	Orders	11	Tar isteach	come in			
Giota Beag - Series 1	Orders	11	doras	door			
Giota Beag - Series 1	Orders	11	fuinneog	window			fuinyug??
Giota Beag - Series 1	Orders	11	Druid an doras	close the door			
Giota Beag - Series 1	Orders	11	Oscail an doras	open the door			
Giota Beag - Series 1	Orders	11	Druid an fhuinneog	close the window			inyug??
Giota Beag - Series 1	Orders	11	Oscail an fhuinneog	open the window			
Giota Beag - Series 1	Orders	11	Suígh síos	sit down			see shees
Giota Beag - Series 1	Orders	11	Bí maith	be good			
Giota Beag - Series 1	Orders	11	Bí ciúin	be quiet			
Giota Beag - Series 1	Orders	11	Bí cúramach	be careful			
Giota Beag - Series 1	Orders	11	Ná tar isteach	don't come in			
Giota Beag - Series 1	Orders	11	Ná druid an doras	don't close the door			
Giota Beag - Series 1	Orders	11	Ná habair sin	don't say that			
Giota Beag - Series 1	Shopping	12	pionta	a pint			punta/pinta?
Giota Beag - Series 1	Shopping	12	pionta bainne	a pint of milk			punta/pinta? bawnya
Giota Beag - Series 1	Shopping	12	Builín	a loaf			boolyeen
Giota Beag - Series 1	Shopping	12	Builín arán	a loaf of bread			boolyeen aran
Giota Beag - Series 1	Shopping	12	Stampa	a stamp			
Giota Beag - Series 1	Shopping	12	Punt	a pound			
Giota Beag - Series 1	Shopping	12	pingin	pence			
Giota Beag - Series 1	Shopping	12	Fiche pingin	twenty pence			ping
Giota Beag - Series 1	Shopping	12	Caoga pingin	fifty pence			ping
Giota Beag - Series 1	Shopping	12	Seo duit	here you are			shaw ditch
Giota Beag - Series 1	Shopping	12	Cad é a ba mhaith leat?	What would you like?			
Giota Beag - Series 1	Shopping	12	Cá mhéad atá ar sin?	How much is that?			
Giota Beag - Series 1	Shopping	12	Ní thuigim	I don't understand			
Giota Beag - Series 1	Going places	13	Cá bhfuil tú ag dul?	Where are you going?			
Giota Beag - Series 1	Going places	13	an siopa	the shop			
Giota Beag - Series 1	Going places	13	an banc	the bank			
Giota Beag - Series 1	Going places	13	an leabharlann	the library			
Giota Beag - Series 1	Going places	13	an linn snámha	the swimming pool			
Giota Beag - Series 1	Going places	13	an cluiche peile	the football match			
Giota Beag - Series 1	Going places	13	Tá mé ag dul go dtí ...	I'm going to ...			
Giota Beag - Series 1	Going places	13	Tá mé ag dul go dtí an siopa	I'm going to the shop			
Giota Beag - Series 1	Going places	13	Tá mé ag dul go dtí an banc	I'm going to the bank			
Giota Beag - Series 1	Going places	13	Tuigim	I do understand			
Giota Beag - Series 1	Going places	13	An dtuigeann tú?	Do you understand?			
Giota Beag - Series 1	Going places	13	Le Bríd	with Bríd			
Giota Beag - Series 1	In the pub	14	Tá tú ag dul ...	You are going ...			
Giota Beag - Series 1	In the pub	14	Tá sé/sí ag dul ...	He/she is going ...			
Giota Beag - Series 1	In the pub	14	Tá muid/sibh/siad ...	We/you plural/they are ...			
Giota Beag - Series 1	In the pub	14	an teach tabhairne	The pub			
Giota Beag - Series 1	In the pub	14	cad é ba mhaith leat le hól?	What would you like to drink?			
Giota Beag - Series 1	In the pub	14	pionta	a pint			
Giota Beag - Series 1	In the pub	14	gloine	a glass			
Giota Beag - Series 1	In the pub	14	uisce	water			
Giota Beag - Series 1	In the pub	14	fíona	wine			
Giota Beag - Series 1	In the pub	14	gloine uisce	a glass of water			
Giota Beag - Series 1	In the pub	14	glione fíona	a glass of wine			
Giota Beag - Series 1	In the pub	14	ba mhaith leat pionta, le do thoil	What would you like to drink?			
Giota Beag - Series 1	In the pub	14	fosta	also/as well			
Giota Beag - Series 1	In the pub	14	Lá Fhéile Bríde	St. Brigid's Day			
Giota Beag - Series 1	In the pub	14	Lúnasa	August			
Giota Beag - Series 1	In the pub	14	Samhain	November			
Giota Beag - Series 1	In the pub	14	Go ndéana a mhaith duit	you're welcome/may it do you good/don't mention it			
Giota Beag - Series 1	The pub	15	Is mise ...	I am ....			
Giota Beag - Series 1	The pub	15	Cad é mar atá tú?	How are you?			
Giota Beag - Series 1	The pub	15	Tá mé go maith, go raibh maith agat	I'm fine, thank you.			
Giota Beag - Series 1	The pub	15	Is maith liom ...	I like ...			
Giota Beag - Series 1	The pub	15	Ar mhaith leat cupán caife?	Would you like a cup of coffee?			
Giota Beag - Series 1	The pub	15	Gabh mo leithscéal	Excuse me			
Giota Beag - Series 1	The pub	15	Cén t-am é?	What time is it?			
Giota Beag - Series 1	The pub	15	Déan deifir	Hurry up			
Giota Beag - Series 1	The pub	15	Cé mhéid atá ar sin?	How much is that?			
Giota Beag - Series 1	The pub	15	Is maith sin	That's great			
Giota Beag - Series 1	The pub	15	Oíche mhaith	Good night			
Giota Beag - Series 1	The pub	15	ádh mór ort	good luck			???
Giota Beag - Series 1	The pub	15	Fan bomaite	Wait a minute			
Giota Beag - Series 1	The pub	15	Tóg go bog é	Take it easy			
Giota Beag - Series 1	The pub	15	Sláinte	cheers			
Giota Beag - Series 1	The pub	15	Maith go leor	Alright			
Giota Beag - Series 2	1	1	Giota beag eile	Another little bit			
Giota Beag - Series 2	1	1	Cupán eile	Another cup			
Giota Beag - Series 2	1	1	Ar mhaith leat	Would you like?			
Giota Beag - Series 2	1	1	Ba mhaith liom	I would like			
Giota Beag - Series 2	1	1	Níor mhaith liom	I wouldn't like			
Giota Beag - Series 2	1	1	Ba mhaith liom dul go dtí	I would like to go to			
Giota Beag - Series 2	1	1	Liom, leat, leis, lei	With me, with you, with him, with her			
Giota Beag - Series 2	2	2	An bhfuil Spáinnis agat?	Have you got Spanish?			
Giota Beag - Series 2	2	2	Tá carr agam	I have a car			
Giota Beag - Series 2	2	2	An bhfuil carr nua agat?	Do you have a new car?			
Giota Beag - Series 2	2	2	An bhfuil bomaite agat?	Have you got a minute?			
Giota Beag - Series 2	2	2	Tá coinne agam.	I have an appointment.			
Giota Beag - Series 2	2	2	An bhfuil Fraincis agat?	Do you have French?			
Giota Beag - Series 2	2	2	Tá Spáinnis agus Fraincis aige	He has Spanish and French.			
Giota Beag - Series 2	2	2	Tús maith leath na hoibre.	A good start is half the work.			
Giota Beag - Series 2	3	3	Laethannta saoire	Holidays			lehanta seera
Giota Beag - Series 2	3	3	Cá raibh tú ar laethannta saoire?	Where were you on holidays?			
Giota Beag - Series 2	3	3	Bhí mé sa Spáinn, ar feadh seachtaine.	I was in Spain, for a week.			
Giota Beag - Series 2	3	3	Bhí mé i nGaillimh, ar feadh coicíse.	I was in Galway, for a fortnight.			
Giota Beag - Series 2	3	3	Bhí sé iontach te.	It was very hot.			
Giota Beag - Series 2	3	3	Bhí sé fuar.	It was cold.			
Giota Beag - Series 2	3	3	an aimsir	the weather			
Giota Beag - Series 2	3	3	Bhí an aimsir ar fheabhas.	The weather was brilliant.			
Giota Beag - Series 2	3	3	Tá sé ag éirí fuar.	It's getting cold.			
Giota Beag - Series 2	3	3	galanta	beautiful			
Giota Beag - Series 2	3	3	Bhí an aimsir galanta.	The weather was beautiful.			
Giota Beag - Series 2	4	4	Ar bhain tú sult as?	Did you enjoy it?			
Giota Beag - Series 2	4	4	Bhain mé sult as.	I enjoyed it.			
Giota Beag - Series 2	4	4	Bhí mé ag siúl, ar an trá.	I was walking on the beach.			
Giota Beag - Series 2	4	4	Bhí muid ag siúl.	We were walking.			
Giota Beag - Series 2	4	4	Bhí muid ag snámh.	We were swimming.			
Giota Beag - Series 2	4	4	Bhí muid ag ithe achan lá.	We were eating every day.			
Giota Beag - Series 2	4	4	Bhí muid ag ól achan oíche.	We were drinking every night.			
Giota Beag - Series 2	4	4	Bhí mé ag caint le Colm.	I was talking to Colm.			
Giota Beag - Series 2	4	4	Bhí mé ag caint leis.	I was talking to him.			
Giota Beag - Series 2	5	5	Múscail ar a seacht a chlog	Wake up at seven a clock			
Giota Beag - Series 2	5	5	Ith banana agus úll	Eat a banana and an apple			
Giota Beag - Series 2	5	5	Ól gloine uisce	Drink a glass of water			
Giota Beag - Series 2	5	5	Siúil go dtí an siopa	Walk to the shop			
Giota Beag - Series 2	5	5	Ceannaigh an nuachtán	Buy the newspaper			
Giota Beag - Series 2	5	5	Suigh sios	Sit down			
Giota Beag - Series 2	5	5	Leigh an nuachtán	Read the newspaper			
Giota Beag - Series 2	5	5	Amharc ar an teilifís	Watch the television			
Giota Beag - Series 2	5	5	Éist le Giota Beag Eile	Listen to Giota Beag Eile			
Giota Beag - Series 2	5	5	Foghlaim Gaeilge	Learn Irish			
Giota Beag - Series 2	6	6	Bhain mé sult as an lá	I enjoyed the day			
Giota Beag - Series 2	6	6	Mhúscail mé ar a seacht a chlog	I woke at seven o'clock			
Giota Beag - Series 2	6	6	D'ith mé banana agus úll	I ate a banana and an apple			
Giota Beag - Series 2	6	6	Dól mé gloine uisce	I drank a glass of water			
Giota Beag - Series 2	6	6	Shiúil mé go dtí an siopa	I walked to the shop			
Giota Beag - Series 2	6	6	Cheannaigh mé an nuachtán	I bought the newspaper			
Giota Beag - Series 2	6	6	Shuigh mé síos	I sat down			
Giota Beag - Series 2	6	6	Leigh mé an nuachtán	I read the newspaper			
Giota Beag - Series 2	6	6	D'amharc mé ar an teilifís	I watched the television			
Giota Beag - Series 2	6	6	D'éist mé le Giota Beag Eile	I listened to Giota Beag Eile			
Giota Beag - Series 2	6	6	D'fhoghlaim mé Gaeilge	I learnt Irish			
Giota Beag - Series 2	6	6	D'fhoghlaim mé níos mó Gaeilge	I learnt more Irish			
Giota Beag - Series 2	6	6	B'fhéidir	Maybe			
Giota Beag - Series 2	7	7	Tuilleadh ar an aimsir chaite	More on the past tense			
Giota Beag - Series 2	7	7	Níor mhúscail mé ar a seacht a chlog	I didn't wake up at seven o'clock			
Giota Beag - Series 2	7	7	Níor shiúil mé go dtí an siopa	I didn't walk to the shop			
Giota Beag - Series 2	7	7	Níor cheannaigh mé an nuachtán	I didn't buy the newspaper			
Giota Beag - Series 2	7	7	Níor bhain mé sult as an lá	I didn't enjoy the day			
Giota Beag - Series 2	7	7	D'ith mé banana agus úll	I ate a banana and an apple			
Giota Beag - Series 2	7	7	D'amharc mé ar an teilifís	I watched the television			
Giota Beag - Series 2	7	7	D'éist mé le Giota Beag Eile	I listened to Giota Beag Eile			
Giota Beag - Series 2	7	7	Níor amharc mé ar an teilifís	I didn't watch the television			
Giota Beag - Series 2	7	7	Níor éist mé le Giota Beag Eile	I didn't listen to Giota Beag Eile			
Giota Beag - Series 2	7	7	Imigh leat!	Away with you!			
Giota Beag - Series 2	8	8	Mothúcháin	Emotions			
Giota Beag - Series 2	8	8	Tá tuirse orm	I'm tired			
Giota Beag - Series 2	8	8	Tá ocras orm	Im hungry			
Giota Beag - Series 2	8	8	Tá tuirse orm mar ...	I'm tired because ...			
Giota Beag - Series 2	8	8	Níl ocras orm mar ...	I'm not hungry because ...			
Giota Beag - Series 2	8	8	Tá tuirse orm mar mhúscail mé ar a sé a chlog	I'm tired because I woke at six o'clock			
Giota Beag - Series 2	8	8	Tá ocras orm mar níor ith mé mo bhricfeasta	I'm hungry because I didnt eat my breakfast			
Giota Beag - Series 2	8	8	Tá áthas orm	I'm happy			
Giota Beag - Series 2	8	8	Tá brón orm	I'm sad or sorry			
Giota Beag - Series 2	8	8	Fuair sé bás	He died			
Giota Beag - Series 2	8	8	Tá brón orm mar fuair sé bás	I'm sad because he died			
Giota Beag - Series 2	8	8	Tá fearg orm	I'm angry			
Giota Beag - Series 2	8	8	Tá iontas orm	I'm surprised			
Giota Beag - Series 2	8	8	Cad é atá ort?	What's wrong with you?			
Giota Beag - Series 2	8	8	Tá fearg orm mar mhúscail an guthán mé.	I'm angry because the phone woke me.			
Giota Beag - Series 2	8	8	Cheannaigh sé bláthanna	He bought flowers			
Giota Beag - Series 2	9	9	Tinneas	Sickness			
Giota Beag - Series 2	9	9	Cad é atá ort?	What's wrong with you?			
Giota Beag - Series 2	9	9	Tá tinneas orm	I'm sick			
Giota Beag - Series 2	9	9	Tá mé go measartha	I'm not too bad			
Giota Beag - Series 2	9	9	Tá slaghdán orm	I have a cold			
Giota Beag - Series 2	9	9	Tá tinneas cinn orm	I have a headache			
Giota Beag - Series 2	9	9	Tá tinneas goile orm fosta	I also have a stomach ache			
Giota Beag - Series 2	9	9	Tinneas fiacaile	Toothache			
Giota Beag - Series 2	9	9	Tá biseach orm	I'm better			
Giota Beag - Series 2	9	9	Orm, ort, air, uirthi	On me, on you, on him, on her			
Giota Beag - Series 2	9	9	Tá drochspionn orm	I'm not in great form			
Giota Beag - Series 2	9	9	Tá spionn mhaith orm	I'm in great form			
Giota Beag - Series 2	9	9	Tá mé buartha	I'm sorry/I'm worried			
Giota Beag - Series 2	10	10	Bhí mo bhreithlá ann Dé hAoine	It was my birthday on Friday			
Giota Beag - Series 2	10	10	Fuair mé cárta agus fuair mé bronntanas	I got a card and I got a present			
Giota Beag - Series 2	10	10	Fuair mé geansaí nua	I got a new jumper			
Giota Beag - Series 2	10	10	Fuair mé leabhar nua	I got a new book			
Giota Beag - Series 2	10	10	Fuair me leabhar úr fosta	I also got a new book			
Giota Beag - Series 2	10	10	Chuaigh muid go dtí an bhialann ar dtús	We went to the restaurant first			
Giota Beag - Series 2	10	10	Chuaigh muid go dtí an phictiúrlann ina dhiaidh sin	We went to the cinema afterwards			
Giota Beag - Series 2	10	10	Ar dtús chuaigh muid go dtí an phictiúrlann	Firstly, we went to the cinema			
