program	episode	topic	topic2	type	group	irish	meaning	practice_ideas	s_p	m_f	literal_meaning	phonetic	sound	info
NYT	2	Introductions		QUESTION		C'ainm atá ort?	What's your name?	Try other on prep pronouns – orm/ort/air/uirthi/orainn/oraibh/orthu						
NYT	2	Introductions		QUESTION		C'ainm atá ortsa?	What's *your* name?							
NYT	2	Introductions		SENTENCE		>$NAME	>$NAME							Usually just the surname
NYT	2	Introductions		QUESTION		Cé seo?	Who's this?				s			
NYT	2	Introductions		QUESTION		Cé hiad seo?	Who's this? Who are these?				p			
NYT	2	Introductions		SENTENCE		Seo $NAME	This is $NAME							
NYT	2	Introductions		QUESTION		Cé hiad sin?	Who are they/those?				p			
NYT	2	Introductions		QUESTION		Cé hé sin?	Who is he?							
NYT	2	Introductions		SENTENCE		> Sin (é) $NAME.	He is $NAME.							
NYT	2	Introductions		QUESTION		Cé mise?	Who am I?							
NYT	2	Introductions		QUESTION		Cé hé?	Who is he?							
NYT	2	Introductions		SENTENCE		Is é... é	He is							
NYT	2	Introductions		QUESTION		Cé hí?	Who is she?							
NYT	2	Introductions		QUESTION		Is í... í	She is							
NYT	2	Introductions		QUESTION		Cé sinne?	Who are we?							
NYT	2	Introductions		QUESTION		Cé hiad?	Who are they?							
NYT	2	Introductions		SENTENCE		Is iad... iad	They are...							
NYT	2	Introductions		WORD		ar	on					air		
NYT	2	Introductions		WORD		ár	our					are		
NYT	2	Introductions		WORD		fear	man					far		
NYT	2	Introductions		WORD		féar	grass					fay-r		
NYT	2	Introductions		WORD		fionn	blond					finn		
NYT	2	Introductions		WORD		fíon	wine					fee-in		
NYT	2	Introductions		WORD		solas	light					sawlas		
NYT	2	Introductions		WORD		sólás	comfort					sow-laas		
NYT	2	Introductions		WORD		gunna	gun					gun-na		
NYT	2	Introductions		WORD		gúna	dress					goona		
NYT	2	Introductions	Family Basic	WORD		an teaghlach	the family					an chay-la		
NYT	2	Introductions	Family Basic	WORD		Mo theaghlach	My family					mo hay-la		
NYT	2	Introductions	Family Basic	WORD		athair	father					aher		
NYT	2	Introductions	Family Basic	WORD		máthair	mother					mah-her		
NYT	2	Introductions	Family Basic	WORD		mamaí?	mum?							
NYT	2	Introductions	Family Basic	WORD		deirfiúr	sister					djerifur		
NYT	2	Introductions	Family Basic	WORD		deartháir	brother					djarher		
NYT	2	Introductions	Family Basic	WORD		iníon*	daughter					nyee-in (like news)		* In Ulster the i at the beginning of iníon is not pronounced.
NYT	2	Introductions	Family Basic	WORD		iníonacha	daughters							
NYT	2	Introductions	Family Basic	WORD		mac	son					mawck		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo mháthair.	This is my mother					Shaw mo wahher		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo m'athair.	This is my father					Shaw maher		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo m'iníon.	This is my daughter					Shaw minyee-in		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo mhac.	This is my son					Shaw  mo wock		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo dheartháir.	This is my brother					Shaw  mo yeahr-her		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo dheirfiúr.	This is my sister					Shaw mo yerifur		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo chuid iníonacha...	these are my daughters					Shaw whid nyeenacha...		
NYT	2	Introductions	Family Introductions	SENTENCE		Seo mo chuid mac...	these are my sons					Shaw whid mawk...		
NYT	2	Introductions		SENTENCE		Ar mhaith leat cluiche?	Would you like a game?							
NYT	2	Introductions		WORD		bó	cow							
NYT	2	Introductions		WORD		eilit	doe							
NYT	2	Introductions		WORD		torc	boar							
NYT	2	Introductions		WORD		gabhar	goat							
NYT	2	Introductions		SENTENCE		go dtí sin	until then							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		CÚLRA	BACKGROUND					koolra		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		PHRASE		AG LABHAIRT FAOI DO CHÚLRA	SPEAKING ABOUT YOUR BACKGROUND					a lortch fwee do hkoolra		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cá as tú?	Where are you from?							After giving your response, you can ask the same question in the following ways:
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cá as túsa?	Where are *you* from?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cá as tú féin?	Where are you from yourself?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Agus tú féin?	And yourself?					Agus tu hain?		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cárb as thú?	Where are you from?					Carb ass who?		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cárb as thú féin?	Where are you from yourself?					Carb ass who hain?		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cárb as thú, a $NAME?	Where are you from, $NAME?					Carb ass who, $NAME?		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		TEMPLATE		Is as ... mé.	I'm from ...							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Is as Dún Geanainn mé.	I'm from Dungannon.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		As Léim an Mhadaidh.	From Limavady.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cá bhfuil tú?	Where are you?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cá bhfuil tú i do chónaí?	Where do you live?				where are you in your living?			
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		TEMPLATE		Tá mé i mo chónaí i(n)...	I live in...							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí in Aontroim.	I live in Antrim.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí i nDún Geanainn.	I live in Dungannon.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		An bhfuil sé deas?	Is it nice?					An whil shay jeas?		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá sé deas	It is nice							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá sé go maith	It is good							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		An maith leat é?	Do you like it?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Is maith liom é.	I like it.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Is maith.	I like it.							Shorter and acceptable
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Níl maith liom é.	I do not like it.							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Níl maith.	I do not like it.							Shorter and acceptable
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		seoladh	address					shaw-loo		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		Cad é an seoladh atá agat?	What's your address?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		breithe	birth					eh-tch vrey-ha		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		Aít	place					eh-tch vrey-ha		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		Aít bhreithe	place of birth					eh-tch vrey-ha		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		QUESTION		cá bhfuil tú i do áit bhreithe?	where is your place of birth?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Is as Ard Mhacha **ó dhúchas** mé, ach tá mé i mo chónaí i mBeal Feirste anois.	I'm originally from Armagh, but I live in Belfast now.					As Ard Whacha **oh huhas** meh, ack taw may i mo hoaney in mel ferste anish		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		sráid	street					sradg		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		bóthar	road					baw-her		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		lár	centre					lar		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		taobh amuigh	outside					too amwee		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		baile	town					balla		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		cathrach	city					ceh-hra		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		WORD		tuath	countryside					too-a		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		TEMPLATE		Tá mé i mo chónaí ...	I live ...							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí i lár an bhaile.	I live in the centre of town.					.. i lar an whalla		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí taobh amuigh den bhaile.	I live outside the town					.. too amwee den whalla???		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí faoin tuath	I live in the countryside					fween too-a		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí i lár na cathrach	I live in the city centre.					i lar na ceh-hra		maybe.. in the center of the city???
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí ar shráid Anraí	I live on Henry Street					ar hradg anry		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND		SENTENCE		Tá mé i mo chónaí ar Bhóthar na Carraige	I live on Carrick Road					ar waw-her na carriga		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Náid	Zero					Nawj		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Aon	One					Ayn		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Dó	Two					Doh		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Trí	Three					Tree		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Ceathair	Four					KYA-hir		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Cúig	Five					KOO-ig		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Sé	Six					Shay		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Seacht	Seven					Shakht		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Ocht	Eight					Awkht		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Naoi	Nine					Nee		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			Deich	Ten					Jay		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			uimhir	number					ever		
